species,phenostate,accuracy.gb,sensitivity.gb,specificity.gb,accuracy.rl,sensitivity.rl,specificity.rl
ANAR,budding,0.85380117,0.567567568,0.932835821,NA,NA,NA
ANAR,flowering,0.923529412,0.636363636,0.966216216,NA,NA,NA
ANAR,fruiting,0.958823529,0.636363636,0.981132075,NA,NA,NA
ANAR,seeding,0.947058824,0,0.975757576,NA,NA,NA
ARLA,budding,0.809160305,0.708860759,0.852459016,NA,NA,NA
ARLA,flowering,0.938461538,0.878787879,0.958762887,NA,NA,NA
ARLA,fruiting,0.953125,0.678571429,0.986842105,NA,NA,NA
ARLA,seeding,0.97265625,0.714285714,0.987603306,NA,NA,NA
ASLE,budding,0.783333333,0.613636364,0.881578947,NA,NA,NA
ASLE,flowering,0.902953586,0.791666667,0.931216931,NA,NA,NA
ASLE,fruiting,0.928270042,0.5,0.959276018,NA,NA,NA
ASLE,seeding,0.966244726,0.142857143,0.991304348,NA,NA,NA
CAMI,budding,0.83,0.761904762,0.879310345,NA,NA,NA
CAMI,flowering,0.889447236,0.818181818,0.92481203,NA,NA,NA
CAMI,fruiting,0.868020305,0.538461538,0.918128655,NA,NA,NA
CAMI,seeding,0.964467005,0.666666667,0.97382199,NA,NA,NA
ERGR,budding,0.929292929,0.4375,0.972527473,NA,NA,NA
ERGR,flowering,0.96373057,0.884615385,0.976047904,NA,NA,NA
ERGR,fruiting,0.734375,0.728813559,0.736842105,NA,NA,NA
ERGR,seeding,0.870466321,0.545454545,0.912280702,NA,NA,NA
LICA,budding,0.862745098,0.642857143,0.945945946,NA,NA,NA
LICA,flowering,0.857142857,0.444444444,0.95,NA,NA,NA
LICA,fruiting,0.918367347,0.833333333,0.930232558,NA,NA,NA
LICA,seeding,1,1,1,NA,NA,NA
LUAR,budding,0.84009009,0.785714286,0.883064516,0.865168539,0.806722689,0.886503067
LUAR,flowering,0.9138322,0.9,0.921708185,0.925339367,0.843137255,0.95
LUAR,fruiting,0.908256881,0.825242718,0.933933934,0.89977221,0.77443609,0.954248366
LUAR,seeding,0.883449883,0.228571429,0.941624365,0.897260274,0.492753623,0.972899729
MEPA,budding,0.835497835,0.80141844,0.888888889,NA,NA,NA
MEPA,flowering,0.835497835,0.821428571,0.857142857,NA,NA,NA
MEPA,fruiting,0.770562771,0.663043478,0.841726619,NA,NA,NA
MEPA,seeding,0.859030837,0.548387097,0.908163265,NA,NA,NA
PEBR,budding,0.813953488,0.617021277,0.926829268,0.898016997,0.784313725,0.944223108
PEBR,flowering,0.891472868,0.523809524,0.962962963,0.884057971,0.801980198,0.918032787
PEBR,fruiting,0.899224806,0.647058824,0.9375,0.868804665,0.776595745,0.903614458
PEBR,seeding,0.9765625,NaN,0.9765625,0.895043732,0.652777778,0.959409594
POBI,budding,0.837209302,0.724137931,0.87,0.898016997,0.784313725,0.944223108
POBI,flowering,0.875,0.685714286,0.946236559,0.884057971,0.801980198,0.918032787
POBI,fruiting,0.873015873,0.533333333,0.918918919,0.868804665,0.776595745,0.903614458
POBI,seeding,0.96031746,0.571428571,0.983193277,0.895043732,0.652777778,0.959409594
VASI,budding,0.757746479,0.682926829,0.797413793,0.820652174,0.565217391,0.905797101
VASI,flowering,0.828169014,0.69047619,0.903930131,0.883008357,0.791208791,0.914179104
VASI,fruiting,0.907042254,0.613636364,0.948553055,0.866295265,0.559322034,0.926666667
VASI,seeding,0.943661972,0.5,0.972972973,0.930167598,0.821428571,0.950331126
ANOC,budding,NA,NA,NA,0.96744186,0.538461538,0.995049505
ANOC,flowering,NA,NA,NA,0.920930233,0.633333333,0.967567568
ANOC,fruiting,NA,NA,NA,0.820754717,0.816326531,0.824561404
ANOC,seeding,NA,NA,NA,0.841121495,0.468085106,0.946107784
CAPA,budding,NA,NA,NA,0.809248555,0.611111111,0.922727273
CAPA,flowering,NA,NA,NA,0.843657817,0.660869565,0.9375
CAPA,fruiting,NA,NA,NA,0.872781065,0.794117647,0.892592593
CAPA,seeding,NA,NA,NA,0.878338279,0.444444444,0.945205479
ERMO,budding,NA,NA,NA,0.942528736,0.714285714,0.98630137
ERMO,flowering,NA,NA,NA,0.907514451,0.769230769,0.947761194
ERMO,fruiting,NA,NA,NA,0.852071006,0.830188679,0.862068966
ERMO,seeding,NA,NA,NA,0.923076923,0.894736842,0.926666667
ERPE,budding,NA,NA,NA,0.898016997,0.695652174,0.928338762
ERPE,flowering,NA,NA,NA,0.919308357,0.77027027,0.95970696
ERPE,fruiting,NA,NA,NA,0.893063584,0.614285714,0.963768116
ERPE,seeding,NA,NA,NA,0.892753623,0.522727273,0.946843854
LIGR,budding,NA,NA,NA,0.88,0.612244898,0.927536232
LIGR,flowering,NA,NA,NA,0.894080997,0.666666667,0.940074906
LIGR,fruiting,NA,NA,NA,0.906542056,0.74,0.937269373
LIGR,seeding,NA,NA,NA,0.940993789,0.227272727,0.993333333
MIAL,budding,NA,NA,NA,0.890243902,0.5,0.936363636
MIAL,flowering,NA,NA,NA,0.922131148,0.724137931,0.948837209
MIAL,fruiting,NA,NA,NA,0.881147541,0.238095238,0.941704036
MIAL,seeding,NA,NA,NA,0.904958678,0.4,0.95045045
